component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;OTS Revision;SPOC revision;Error Type;user;dev revision;dev date;deploy date;csv revision
oest/cmd/ESFD2003A.cmd;536256;99909;SPIRA: 99909 Copy from 3L_DEV - New OMEGA2;OK;08/02/2022 10:03;;Repo_20220203173124Repo_20220204084600Repo_20220204110100Repo_20220204123100Repo_20220204140100Repo_20220204144600Repo_20220204151600Repo_20220204171600Repo_20220207114600Repo_20220207123100Repo_20220207124600Repo_20220207134600Repo_20220207143100Repo_20220207154600Repo_20220207163103Repo_20220207193142Repo_20220207203103Repo_20220208094600Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;0;0;U004311;536449;02/02/2022 10:09;;538450;
oest/cmd/ESFD2003C.cmd;537590;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;07/02/2022 20:24;;;;;frdev11;537576;07/02/2022 19:02;;
oest/cmd/ESFD2200.cmd;534761;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;03/02/2022 09:15;;;;;frdev11;534758;18/01/2022 17:30;;
oest/cmd/ESFD2201.cmd;534762;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;03/02/2022 09:15;;;;;frdev11;534758;18/01/2022 17:30;;
oest/cmd/ESFD2211.cmd;534766;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;03/02/2022 09:15;;;;;frdev11;534758;18/01/2022 17:30;;
oest/cmd/ESFD2230.cmd;534763;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;03/02/2022 09:15;;;;;frdev11;534758;18/01/2022 17:30;;
oest/cmd/ESFD2231.cmd;534764;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;03/02/2022 09:15;;;;;frdev11;534758;18/01/2022 17:30;;
oest/cmd/ESFD2900.cmd;533235;100487;SPIRA: 100487 Copy from 3L_DEV - New OMEGA2;OK;02/02/2022 16:57;;Repo_20220203134700Repo_20220203141500Repo_20220203144700Repo_20220203161500Repo_20220203163102Repo_20220203173100Repo_20220204084700Repo_20220204091500Repo_20220204094700Repo_20220204101500Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
oest/cmd/ESFD2901.cmd;536639;100487;SPIRA: 100487 SPIRA 101117-100487 Ajout mappings compta et posting EBS;CT;02/02/2022 16:57;;Repo_20220203134700Repo_20220203141500Repo_20220203144700Repo_20220203161500Repo_20220203163102Repo_20220203173100Repo_20220204084700Repo_20220204091500Repo_20220204094700Repo_20220204101500Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500;;;frdev14;536633;02/02/2022 16:48;;537994;
oest/cmd/ESFD2901.cmd;537893;101117;SPIRA: 101117 :spira:98240 Ajout TRN_NT; RETARDRETINT_B; GAAPCOD_NT; I17PRDCOD_CT dans la cl?\195?\169 de rupture et code Ouverture 'O' dans col GT_NEWCOLS4_NF;CE;09/02/2022 15:14;0;Repo_20220208174600Repo_20220208181600Repo_20220208183100Repo_20220208184600Repo_20220209110100Repo_20220209114600;;;frdev14;537879;
